genome1,genome2,dist,similarity
A_reference.fna,A_reference.fna,0.0,1.0
B_same_species_98ANI.fna,A_reference.fna,0.017831206,0.9821688
C_boundary_95ANI.fna,A_reference.fna,0.048920214,0.9510798
D_related_below_species_92ANI.fna,A_reference.fna,0.07746279,0.9225372
E_distant_85ANI.fna,A_reference.fna,0.18226898,0.817731
A_reference.fna,B_same_species_98ANI.fna,0.017831206,0.9821688
B_same_species_98ANI.fna,B_same_species_98ANI.fna,0.0,1.0
C_boundary_95ANI.fna,B_same_species_98ANI.fna,0.06776291,0.9322371
D_related_below_species_92ANI.fna,B_same_species_98ANI.fna,0.09946978,0.9005302
E_distant_85ANI.fna,B_same_species_98ANI.fna,0.19729197,0.802708
A_reference.fna,C_boundary_95ANI.fna,0.048920214,0.9510798
B_same_species_98ANI.fna,C_boundary_95ANI.fna,0.06776291,0.9322371
C_boundary_95ANI.fna,C_boundary_95ANI.fna,0.0,1.0
D_related_below_species_92ANI.fna,C_boundary_95ANI.fna,0.121010005,0.87899
E_distant_85ANI.fna,C_boundary_95ANI.fna,0.23010999,0.76989
A_reference.fna,D_related_below_species_92ANI.fna,0.07746279,0.9225372
B_same_species_98ANI.fna,D_related_below_species_92ANI.fna,0.09946978,0.9005302
C_boundary_95ANI.fna,D_related_below_species_92ANI.fna,0.121010005,0.87899
D_related_below_species_92ANI.fna,D_related_below_species_92ANI.fna,0.0,1.0
E_distant_85ANI.fna,D_related_below_species_92ANI.fna,0.295981,0.704019
A_reference.fna,E_distant_85ANI.fna,0.18226898,0.817731
B_same_species_98ANI.fna,E_distant_85ANI.fna,0.19729197,0.802708
C_boundary_95ANI.fna,E_distant_85ANI.fna,0.23010999,0.76989
D_related_below_species_92ANI.fna,E_distant_85ANI.fna,0.295981,0.704019
E_distant_85ANI.fna,E_distant_85ANI.fna,0.0,1.0
