reference,querry,ani,alignment_coverage,primary_cluster
A_reference.fna,A_reference.fna,0.999974,1.0,1
A_reference.fna,B_same_species_98ANI.fna,0.978456,1.0,1
A_reference.fna,C_boundary_95ANI.fna,0.9503780000000001,0.8,1
A_reference.fna,D_related_below_species_92ANI.fna,0.9229219999999999,0.8,1
B_same_species_98ANI.fna,A_reference.fna,0.978464,1.0,1
B_same_species_98ANI.fna,B_same_species_98ANI.fna,0.999974,1.0,1
B_same_species_98ANI.fna,C_boundary_95ANI.fna,0.930134,1.0,1
B_same_species_98ANI.fna,D_related_below_species_92ANI.fna,0.9061490000000001,0.8,1
C_boundary_95ANI.fna,A_reference.fna,0.9509380000000001,1.0,1
C_boundary_95ANI.fna,B_same_species_98ANI.fna,0.930146,1.0,1
C_boundary_95ANI.fna,C_boundary_95ANI.fna,0.999974,1.0,1
C_boundary_95ANI.fna,D_related_below_species_92ANI.fna,0.8693110000000001,0.8,1
D_related_below_species_92ANI.fna,A_reference.fna,0.923181,0.8,1
D_related_below_species_92ANI.fna,B_same_species_98ANI.fna,0.905471,0.8,1
D_related_below_species_92ANI.fna,C_boundary_95ANI.fna,0.8717870000000001,0.8,1
D_related_below_species_92ANI.fna,D_related_below_species_92ANI.fna,0.9999509999999999,1.0,1
E_distant_85ANI.fna,E_distant_85ANI.fna,0.999948,1.0,2
